"ORDER_ID","ORDER_STATUS","STATUS_TIME"
"2235867",picked,2019-06-10 11:20:15
"2235867",started_dispatch,2019-06-10 11:20:23
"2235780",picked,2019-06-10 11:20:50
"2238034",in_progress,2019-06-10 11:20:54
"2235663",started_dispatch,2019-06-10 11:21:05
"2235615",in_dispatch_buffer,2019-06-10 11:21:22
"2235780",started_dispatch,2019-06-10 11:21:24
"2235640",in_dispatch_buffer,2019-06-10 11:21:40
"2235790",in_progress,2019-06-10 11:21:44
"2235867",in_dispatch_buffer,2019-06-10 11:21:47
"2235695",picked,2019-06-10 11:22:40
"2235663",in_dispatch_buffer,2019-06-10 11:22:42
"2235695",started_dispatch,2019-06-10 11:22:44
"2235615",packed,2019-06-10 11:22:59
"2235641",in_dispatch_buffer,2019-06-10 11:23:00
"2238028",picked,2019-06-10 11:23:48
"2235640",packed,2019-06-10 11:23:49
"2238028",started_dispatch,2019-06-10 11:23:54
"2235663",packed,2019-06-10 11:24:18
"2235780",in_dispatch_buffer,2019-06-10 11:25:08
"2235641",packed,2019-06-10 11:25:20
"2235695",in_dispatch_buffer,2019-06-10 11:25:34
"2235780",packed,2019-06-10 11:26:08
"2235816",in_progress,2019-06-10 11:26:23
"2235781",picked,2019-06-10 11:26:31
"2235864",in_progress,2019-06-10 11:26:44
"2238034",picked,2019-06-10 11:26:58
"2235695",packed,2019-06-10 11:27:02
"2238034",started_dispatch,2019-06-10 11:27:08
"2235781",started_dispatch,2019-06-10 11:27:48
"2238028",in_dispatch_buffer,2019-06-10 11:27:58
"2238034",in_dispatch_buffer,2019-06-10 11:29:22
"2235891",in_progress,2019-06-10 11:29:53
"2235781",in_dispatch_buffer,2019-06-10 11:30:11
"2235648",started_dispatch,2019-06-10 11:30:38
"2235768",picked,2019-06-10 11:30:44
"2235768",started_dispatch,2019-06-10 11:35:36
"2235781",packed,2019-06-10 11:35:44
"2235864",picked,2019-06-10 11:36:20
"2235891",picked,2019-06-10 11:37:02
"2235648",in_dispatch_buffer,2019-06-10 11:39:29
"2235768",in_dispatch_buffer,2019-06-10 11:39:57
"2235816",picked,2019-06-10 11:40:38
"2235648",packed,2019-06-10 11:41:07
"2235816",started_dispatch,2019-06-10 11:41:13
"2235768",packed,2019-06-10 11:42:09
"2237617",in_progress,2019-06-10 11:42:31
"2235790",picked,2019-06-10 11:47:22
"2235864",started_dispatch,2019-06-10 11:47:50
"2235816",in_dispatch_buffer,2019-06-10 11:51:27
"2235790",started_dispatch,2019-06-10 11:51:28
"2234956",picked,2019-06-10 11:52:06
"2234956",started_dispatch,2019-06-10 11:52:16
"2235807",picked,2019-06-10 11:52:53
"2234980",picked,2019-06-10 11:53:56
"2236629",picked,2019-06-10 11:54:53
"2235864",in_dispatch_buffer,2019-06-10 11:59:04
"2236702",in_progress,2019-06-10 11:59:29
"2235935",in_progress,2019-06-10 12:00:29
"2235816",packed,2019-06-10 12:02:04
"2235867",packed,2019-06-10 12:06:24
"2235944",in_progress,2019-06-10 12:07:30
"2235807",started_dispatch,2019-06-10 12:07:48
"2234980",started_dispatch,2019-06-10 12:08:03
"2238028",packed,2019-06-10 12:08:05
"2238034",packed,2019-06-10 12:08:36
"2234794",picked,2019-06-10 12:08:50
"2234956",in_dispatch_buffer,2019-06-10 12:09:50
"2235807",in_dispatch_buffer,2019-06-10 12:10:39
"2236629",started_dispatch,2019-06-10 12:10:43
"2234956",packed,2019-06-10 12:14:17
"2235955",in_progress,2019-06-10 12:15:28
"2235807",packed,2019-06-10 12:16:32
"2235864",packed,2019-06-10 12:18:03
"2236702",in_progress,2019-06-10 12:18:24
"2236702",order_aborted,2019-06-10 12:18:24
"2235725",picked,2019-06-10 12:21:16
"2234886",picked,2019-06-10 12:22:16
"2236735",in_progress,2019-06-10 12:31:26
"2234980",in_dispatch_buffer,2019-06-10 12:33:08
"2235935",in_progress,2019-06-10 12:33:44
"2235790",in_dispatch_buffer,2019-06-10 12:34:29
"2236629",in_dispatch_buffer,2019-06-10 12:34:44
"2235944",in_progress,2019-06-10 12:34:53
